row,Finding ID,Tier,Publication Date,Institution,Report ID
2,DREADNODE-2026-07-ALI1,A,2026-07-29,Dreadnode,DREADNODE-2026-07-EVERMODECHEA
3,DREADNODE-2026-07-ALI2,A,2026-07-29,Dreadnode,DREADNODE-2026-07-EVERMODECHEA
4,SECUREBIO-2026-07-BIO5,A,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW
5,ANTHROPIC-2026-07-OPUS5-CYB1,A,2026-07-24,UK AISI,ANTHROPIC-2026-07-OPUS5
6,JOINT-2026-07-CYB3,A,2026-07-23,Joint UK AISI + US CAISI,JOINT-2026-07-KIMIK3
7,SECUREBIO-2026-07b-BIO1,A,2026-07-23,SecureBio,SECUREBIO-2026-07b-GPT56SOL
8,SECUREBIO-2026-07b-BIO2,A,2026-07-23,SecureBio,SECUREBIO-2026-07b-GPT56SOL
9,SECUREBIO-2026-07b-BIO3,A,2026-07-23,SecureBio,SECUREBIO-2026-07b-GPT56SOL
10,SECUREBIO-2026-07b-BIO4,A,2026-07-23,SecureBio,SECUREBIO-2026-07b-GPT56SOL
11,SECUREBIO-2026-07b-BIO5,A,2026-07-23,SecureBio,SECUREBIO-2026-07b-GPT56SOL
12,UKAISI-2026-07-ALI1,A,2026-07-23,UK AISI,UKAISI-2026-07-HOWOURNEW
13,UKAISI-2026-07-ALI2,A,2026-07-23,UK AISI,UKAISI-2026-07-HOWOURNEW
14,APOLLO-2026-07-ALI1,A,2026-07-21,Apollo Research,APOLLO-2026-07-REWARD
15,APOLLO-2026-07-ALI2,A,2026-07-21,Apollo Research,APOLLO-2026-07-REWARD
16,TRANSLUCE-2026-07-SOC1,A,2026-07-21,Transluce,TRANSLUCE-2026-07-WEIR
17,TRANSLUCE-2026-07-SOC2,A,2026-07-21,Transluce,TRANSLUCE-2026-07-WEIR
18,TRANSLUCE-2026-07-SOC3,A,2026-07-21,Transluce,TRANSLUCE-2026-07-WEIR
19,UKAISI-2026-07-GOV4,A,2026-07-21,UK AISI,UKAISI-2026-07-CHEABEHAIN
20,UKAISI-2026-07-GOV5,A,2026-07-21,UK AISI,UKAISI-2026-07-CHEABEHAIN
21,USCAISI-2026-07-BIO1,A,2026-07-17,US CAISI,USCAISI-2026-07-CAISASSEOF
22,USCAISI-2026-07-CYB2,A,2026-07-17,US CAISI,USCAISI-2026-07-CAISASSEOF
23,SECUREBIO-2026-07-BIO4-s2,A,2026-07-16,SecureBio,SECUREBIO-2026-07-BIOTIER
24,SECUREBIO-2026-07-BIO4-s3,A,2026-07-16,SecureBio,SECUREBIO-2026-07-BIOTIER
25,JOINT-2026-07-AM-ALI1,A,2026-07-13,UK AISI + Anthropic + Theorem + MATS,JOINT-2026-07-AM
26,JOINT-2026-07-CYB1,A,2026-07-09,Joint UK AISI + OpenAI (company-published),JOINT-2026-07
27,JOINT-2026-07-JAI1,A,2026-07-09,Joint UK AISI + OpenAI (company-published),JOINT-2026-07
28,META-2026-07-MUSESPARK-JAI1,A,2026-07-09,Gray Swan AI,META-2026-07-MUSESPARK
29,USCAISI-2026-06-CYB2,A,2026-06-30,US CAISI,USCAISI-2026-06
30,METR-2026-06-ALI1,A,2026-06-26,METR,METR-2026-06-GPT56SOL
31,OPENAI-2026-06-SELF-CYB1,A,2026-06-26,Irregular,OPENAI-2026-06-SELF-GPT56PREV
32,RAND-2026-06-CYB1,A,2026-06-25,RAND Europe,RAND-2026-06-CYBAGENTS
33,DREADNODE-2026-06-JAI1,A,2026-06-16,Dreadnode,DREADNODE-2026-06
34,SECUREBIO-2026-06b-BIO2,A,2026-06-10,SecureBio,SECUREBIO-2026-06b-ABCBENCH
35,SECUREBIO-2026-06b-BIO3,A,2026-06-10,SecureBio,SECUREBIO-2026-06b-ABCBENCH
36,SECUREBIO-2026-06b-BIO5,A,2026-06-10,SecureBio,SECUREBIO-2026-06b-ABCBENCH
37,UKAISI-2026-06-ALI3,A,2026-06-10,UK AISI,UKAISI-2026-06-PREFILL
38,UKAISI-2026-06-ALI6,A,2026-06-09,UK AISI,ANTHROPIC-2026-06-SELF
39,UKAISI-2026-06-GOV1,A,2026-06-09,UK AISI,ANTHROPIC-2026-06-SELF
40,UKAISI-2026-06-JAI2,A,2026-06-09,UK AISI,ANTHROPIC-2026-06-SELF
41,SCALEAI-2026-06-BIO3,A,2026-06-04,Scale AI,SCALEAI-2026-06
42,UKAISI-2026-06-HUM3,A,2026-05-29,UK AISI,UKAISI-2026-06
43,ANTHROPIC-2026-05-SELF-ALI1,A,2026-05-19,Redwood Research,ANTHROPIC-2026-05-SELF-SLEIGHT
44,SCALEAI-2026-05ad-JAI1,A,2026-05-17,Scale AI,SCALEAI-2026-05ad
45,SCALEAI-2026-05ad-JAI2,A,2026-05-17,Scale AI,SCALEAI-2026-05ad
46,UKAISI-2026-05-CYB2,A,2026-05-13,UK AISI,UKAISI-2026-05
47,UKAISI-2026-05-CYB3,A,2026-05-13,UK AISI,UKAISI-2026-05
48,UKAISI-2026-05-CYB4,A,2026-05-13,UK AISI,UKAISI-2026-05
