venue,item_title,url,publication_date,cached_text_path
Shanghai AI Laboratory (AI45 Lab),Building intelligence identification system via large language model watermarking: a survey and beyond (Artificial Intelligence Review),https://research.ai45.shlab.org.cn/Blog_pics/94-Building%20intelligence%20identification%20system%20via%20large%20language%20model%20watermarking%20a%20survey%20and%20beyond.pdf,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/shanghai-ai-laboratory-ai45-lab-building-intelligence-identification-system-via-large-language-.txt
Shanghai AI Laboratory (AI45 Lab),Towards Tracing Trustworthiness Dynamics: Revisiting Pre-training Period of Large Language Models (ACL 2024 Findings),https://arxiv.org/pdf/2402.19465,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/shanghai-ai-laboratory-ai45-lab-towards-tracing-trustworthiness-dynamics-revisiting-pre-trainin.txt
Shanghai AI Laboratory (AI45 Lab),Visual Contextual Attack: Jailbreaking MLLMs with Image-Driven Context Injection (EMNLP 2025),https://arxiv.org/pdf/2507.02844,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/shanghai-ai-laboratory-ai45-lab-visual-contextual-attack-jailbreaking-mllms-with-image-driven-c.txt
Shanghai AI Laboratory (AI45 Lab),ESC-Eval: Evaluating Emotion Support Conversations in Large Language Models (EMNLP 2024),https://arxiv.org/pdf/2406.14952,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/shanghai-ai-laboratory-ai45-lab-esc-eval-evaluating-emotion-support-conversations-in-large-lang.txt
Shanghai AI Laboratory (AI45 Lab),CELLO: Causal Evaluation of Large Vision-Language Models (EMNLP),https://arxiv.org/pdf/2406.19131v1,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/shanghai-ai-laboratory-ai45-lab-cello-causal-evaluation-of-large-vision-language-models-emnlp-.txt
Shanghai AI Laboratory (AI45 Lab),The Tug of War Within: Mitigating the Fairness-Privacy Conflicts in Large Language Models (ACL 2025),https://aclanthology.org/2025.acl-long.590.pdf,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/shanghai-ai-laboratory-ai45-lab-the-tug-of-war-within-mitigating-the-fairness-privacy-conflicts.txt
Shanghai AI Laboratory (AI45 Lab),Demystifying Reasoning Dynamics with Mutual Information: Thinking Tokens are Information Peaks in LLM Reasoning (NeurIPS 2025),https://arxiv.org/pdf/2506.02867,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/shanghai-ai-laboratory-ai45-lab-demystifying-reasoning-dynamics-with-mutual-information-thinkin.txt
Shanghai AI Laboratory (AI45 Lab),EvoBench: Towards Real-world LLM-Generated Text Detection Benchmarking for Evolving Large Language Models (ACL 2025),https://aclanthology.org/2025.findings-acl.754.pdf,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/shanghai-ai-laboratory-ai45-lab-evobench-towards-real-world-llm-generated-text-detection-benchm.txt
Shanghai AI Laboratory (AI45 Lab),Safety Benchmarks and Governance Practices for Foundation Models,https://research.ai45.shlab.org.cn/Blog_pics/The%20Tug%20of%20War%20Within%20Mitigating%20the%20Fairness-Privacy%20Conflicts.pdf,2025-06-30,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/shanghai-ai-laboratory-ai45-lab-safety-benchmarks-and-governance-practices-for-foundation-model.txt
Shanghai AI Laboratory (AI45 Lab),Collectivism and Individualism Political Bias in Large Language Models: A Two-Step Approach,https://research.ai45.shlab.org.cn/Blog_pics/93-Collectivism%20and%20Individualism%20Political%20Bias%20in%20Large%20Language%20Models%20A%20Two-Step%20Approach.pdf,2025-07-18,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/shanghai-ai-laboratory-ai45-lab-collectivism-and-individualism-political-bias-in-large-language.txt
Shanghai AI Laboratory (AI45 Lab),ADAM: An Embodied Causal Agent in Open-World Environments (ICLR 2025),https://research.ai45.shlab.org.cn/Blog_pics/62-ADAM_cameraready.pdf,,
Shanghai AI Laboratory (AI45 Lab),MedGPTEval: A Dataset and Benchmark to Evaluate Responses of Large Language Models in Medicine,https://arxiv.org/abs/2305.07340,2023-05-12,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/fin/shanghai-ai-laboratory-ai45-lab-medgpteval-a-dataset-and-benchmark-to-evaluate-responses-of-lar.txt
